PubMed_ID	Year	Title
41490382	2026	GraphRAG-Enabled Local Large Language Model for Gestational Diabetes Mellitus:
39890454	2026	myAURA: a personalized health library for epilepsy management via knowledge graph
41520226	2026	Benchmarking knowledge graph embedding models for the prediction of oligogenic
40601466	2026	LLM-DDI: Leveraging Large Language Models for Drug-Drug Interaction Prediction on
41610815	2026	Ontology-grounded knowledge graphs for mitigating hallucinations in large
41511539	2026	Knowledge graph and emerging trends in beta-arrestin research on pain: a
41555498	2026	textToKnowledgeGraph: Generation of Molecular Interaction Knowledge Graphs Using
41652023	2026	ConvAHKG: Action-based hybrid knowledge graph with a dual-channel convolutional
41093082	2026	Zero-shot medical image classification via large multimodal models and knowledge
41352163	2026	The development of the Human Health Exposure Analysis Resource (HHEAR) Data
41518988	2026	Knowledge graph integration of clustered medicinal plants, molecules, diseases,
41091930	2026	IMGT(R) at scale: FAIR, dynamic, and automated tools for immune locus analysis.
41588062	2026	Retraction Note: Knowledge graph driven medicine recommendation system using
41346025	2026	Conformal Prediction with Knowledge Graphs for Reliable Antimicrobial Resistance
41531547	2026	RNA-KG v2.0: an RNA-centered Knowledge Graph with Properties.
41481758	2026	FKG-MM: A multi-modal fuzzy knowledge graph with data integration in healthcare.
41474270	2026	IFNg_DeepKG: A Novel Model for Identifying Interferon-Gamma-Inducing Epitopes
41319399	2026	MedSumGraph: enhancing GraphRAG for medical QA with summarization and optimized
41519968	2026	Knowledge-graph embeddings for osteoarthritis candidate prediction.
41385310	2026	Causal knowledge graph analysis identifies adverse drug effects.
41559079	2026	A unified knowledge graph linking foodomics to chemical-disease networks and
41502535	2026	Real-time clinical analytics at scale: a platform built on large language
41647240	2026	A Joint Survival Modeling and Therapy Knowledge Graph Framework to Characterize
41461900	2026	A multimodal vision knowledge graph of cardiovascular disease.
40674201	2026	Knowledge-Augmented Patient Network Embedding-Based Dynamic Model Selection for
41570511	2026	Rule-augmented constraint learning for semantic error detection in MIMIC-III
41535301	2026	SEA CDM: Study-Experiment-Assay Common Data Model and Databases for Cross-Domain
41588523	2026	Advancing the modernization of traditional Chinese medicine through artificial
41124298	2026	AcuKG: a comprehensive knowledge graph for medical acupuncture.
41481915	2026	Large Language Model-Based Virtual Patient Systems for History-Taking in Medical
41659468	2026	BEACON: predicting side effects and therapeutics outcomes to drugs by Bridging
41514421	2026	Comic: explainable drug repurposing via contrastive masking for interpretable
41646767	2026	Scaling Biomedical Knowledge Graph Retrieval for Interpretable Reasoning:
41668933	2026	A novel combination of genomic loci in ITGB2, COL5A1 and VEGFA associated with
